Txhash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Value,Token
"0x13555e21c2cbd3998556673c50a8d495713e997395240e3c2d9b4605022afada","Success","Reward","55770517","2024-04-13 09:53:50","0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245","Binance: Hot Wallet 2","0x862daf1b6137e24380f446d9b184d3c50cc5a081","","3,768,308","!    Kuroro Beasts(KURO  [www.kuroro.gg])"
"0x13555e21c2cbd3998556673c50a8d495713e997395240e3c2d9b4605022afada","Success","Reward","55770517","2024-04-13 09:53:50","0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245","Binance: Hot Wallet 2","0xee6b77ae75831d3696c2f91285614ec7e492fb97","","3,768,308","!    Kuroro Beasts(KURO  [www.kuroro.gg])"
"0x13555e21c2cbd3998556673c50a8d495713e997395240e3c2d9b4605022afada","Success","Reward","55770517","2024-04-13 09:53:50","0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245","Binance: Hot Wallet 2","0x5ea0ccb29595e5c516d6328625db95effdda1db8","","3,768,308","!    Kuroro Beasts(KURO  [www.kuroro.gg])"
"0x13555e21c2cbd3998556673c50a8d495713e997395240e3c2d9b4605022afada","Success","Reward","55770517","2024-04-13 09:53:50","0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245","Binance: Hot Wallet 2","0x1e0b48d6efdd74cf2ee9b1af0908fdf13585de4e","","3,768,308","!    Kuroro Beasts(KURO  [www.kuroro.gg])"
"0x13555e21c2cbd3998556673c50a8d495713e997395240e3c2d9b4605022afada","Success","Reward","55770517","2024-04-13 09:53:50","0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245","Binance: Hot Wallet 2","0x874a14ed16ef1c19d2ed8f49128f9f595c94bd5b","","3,768,308","!    Kuroro Beasts(KURO  [www.kuroro.gg])"
"0x13555e21c2cbd3998556673c50a8d495713e997395240e3c2d9b4605022afada","Success","Reward","55770517","2024-04-13 09:53:50","0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245","Binance: Hot Wallet 2","0x304d855544035115493684f6e061677a2577d875","","3,768,308","!    Kuroro Beasts(KURO  [www.kuroro.gg])"
"0x13555e21c2cbd3998556673c50a8d495713e997395240e3c2d9b4605022afada","Success","Reward","55770517","2024-04-13 09:53:50","0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245","Binance: Hot Wallet 2","0x86728c839878063352ece045ecb7b4771394f815","","3,768,308","!    Kuroro Beasts(KURO  [www.kuroro.gg])"
"0x13555e21c2cbd3998556673c50a8d495713e997395240e3c2d9b4605022afada","Success","Reward","55770517","2024-04-13 09:53:50","0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245","Binance: Hot Wallet 2","0x96966c602eff3e1fa750116d12f16afe6b653649","","3,768,308","!    Kuroro Beasts(KURO  [www.kuroro.gg])"
"0x13555e21c2cbd3998556673c50a8d495713e997395240e3c2d9b4605022afada","Success","Reward","55770517","2024-04-13 09:53:50","0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245","Binance: Hot Wallet 2","0x9b706350e2ec582f3685c3f02fd10ed30b722451","","3,768,308","!    Kuroro Beasts(KURO  [www.kuroro.gg])"
"0x13555e21c2cbd3998556673c50a8d495713e997395240e3c2d9b4605022afada","Success","Reward","55770517","2024-04-13 09:53:50","0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245","Binance: Hot Wallet 2","0x93c7384ede3c151fe622c3aa8eafea613140e4c6","","3,768,308","!    Kuroro Beasts(KURO  [www.kuroro.gg])"
"0x13555e21c2cbd3998556673c50a8d495713e997395240e3c2d9b4605022afada","Success","Reward","55770517","2024-04-13 09:53:50","0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245","Binance: Hot Wallet 2","0x6019f12fbaaf650d3fc71ff0bc62d32b56c9f910","","3,768,308","!    Kuroro Beasts(KURO  [www.kuroro.gg])"
